eventID,occurrenceID,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,lifeStage,vernacularName,identificationQualifier,kingdom,phylum,class,order,family,genus,specificEpithet,basisOfRecord,occurrenceStatus
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2-1,Mallotus villosus,urn:lsid:marinespecies.org:taxname:126735,"(Müller, 1776)",accepted,Species,None,Capelin,,Animalia,Chordata,Actinopteri,Osmeriformes,Osmeridae,Mallotus,villosus,HumanObservation,present
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2-2,Mallotus villosus,urn:lsid:marinespecies.org:taxname:126735,"(Müller, 1776)",accepted,Species,None,Capelin,,Animalia,Chordata,Actinopteri,Osmeriformes,Osmeridae,Mallotus,villosus,HumanObservation,present
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2-3,Mallotus villosus,urn:lsid:marinespecies.org:taxname:126735,"(Müller, 1776)",accepted,Species,None,Capelin,,Animalia,Chordata,Actinopteri,Osmeriformes,Osmeridae,Mallotus,villosus,HumanObservation,present
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2-4,Mallotus villosus,urn:lsid:marinespecies.org:taxname:126735,"(Müller, 1776)",accepted,Species,None,Capelin,,Animalia,Chordata,Actinopteri,Osmeriformes,Osmeridae,Mallotus,villosus,HumanObservation,present
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2-5,Mallotus villosus,urn:lsid:marinespecies.org:taxname:126735,"(Müller, 1776)",accepted,Species,None,Capelin,,Animalia,Chordata,Actinopteri,Osmeriformes,Osmeridae,Mallotus,villosus,HumanObservation,present
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2-6,Mallotus villosus,urn:lsid:marinespecies.org:taxname:126735,"(Müller, 1776)",accepted,Species,None,Capelin,,Animalia,Chordata,Actinopteri,Osmeriformes,Osmeridae,Mallotus,villosus,HumanObservation,present
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2-7,Mallotus villosus,urn:lsid:marinespecies.org:taxname:126735,"(Müller, 1776)",accepted,Species,None,Capelin,,Animalia,Chordata,Actinopteri,Osmeriformes,Osmeridae,Mallotus,villosus,HumanObservation,present
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2-8,Mallotus villosus,urn:lsid:marinespecies.org:taxname:126735,"(Müller, 1776)",accepted,Species,None,Capelin,,Animalia,Chordata,Actinopteri,Osmeriformes,Osmeridae,Mallotus,villosus,HumanObservation,present
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2-9,Mallotus villosus,urn:lsid:marinespecies.org:taxname:126735,"(Müller, 1776)",accepted,Species,None,Capelin,,Animalia,Chordata,Actinopteri,Osmeriformes,Osmeridae,Mallotus,villosus,HumanObservation,present
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-1-10,Gasterosteus aculeatus,urn:lsid:marinespecies.org:taxname:126505,"Linnaeus, 1758",accepted,Species,None,Threespine stickleback,,Animalia,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,aculeatus,HumanObservation,present
